Composition,N Lipids/Layer,N_water,Temperature (K),Avg Membrane Thickness,Kappa (q^-4),Kappa (BW-DCF),Kappa (RSF)
"85.00% DPSM, 15.00% PVSM",2915,195584,310,3.76,34.27,29.16,29.41
"85.00% DPSM, 15.00% PUPE",2915,194578,310,3.74,24.74,20.15,26.91
"85.00% DPSM, 15.00% PRPE",2915,192034,310,3.77,22.81,18.94,25.3
"85.00% DPSM, 15.00% PRPC",2915,192031,310,3.74,24.16,21.83,25.64
"85.00% DPSM, 15.00% PQPE",2915,194559,310,3.81,26.54,20.06,28.42
"85.00% DPSM, 15.00% POSM",2915,195576,310,3.74,33.65,27.78,27.65
"85.00% DPSM, 15.00% POPE",2915,195572,310,3.83,32.8,25.3,28.82
"85.00% DPSM, 15.00% POPC",2915,195567,310,3.8,33.61,28.01,28.2
"85.00% DPSM, 15.00% PNSM",2915,192063,310,3.87,31.72,27.63,27.9
"85.00% DPSM, 15.00% PIPE",2915,195560,310,3.78,30.54,23.76,28.01
"85.00% DPSM, 15.00% PIPC",2915,195566,310,3.76,30.46,27.68,27.06
"85.00% DPSM, 15.00% PGSM",2915,194617,310,3.81,33.24,27.6,28.17
"85.00% DPSM, 15.00% PGPE",2915,194547,310,3.9,33.57,26.62,29.2
"85.00% DPSM, 15.00% PGPC",2915,194582,310,3.87,32.64,28.08,28.24
"85.00% DPSM, 15.00% PEPC",2915,194552,310,3.84,31.32,25.62,27.6
"85.00% DPSM, 15.00% PAPE",2915,194542,310,3.76,25.64,20.78,28.17
"85.00% DPSM, 15.00% PAPC",2915,194605,310,3.74,26.48,22.6,26.6
"85.00% DPSM, 15.00% LPPE",2915,195571,310,3.8,34.45,26.17,30.32
"85.00% DPSM, 15.00% LPPC",2915,195553,310,3.77,33.96,29.3,28.94
"85.00% DPSM, 15.00% DYPE",2915,197033,310,3.7,31.2,23.33,28.26
"85.00% DPSM, 15.00% DXSM",2915,191982,310,3.97,33.37,29.61,28.15
"85.00% PIPC, 15.00% PRPE",2915,192053,310,3.73,21.9,14.19,9.85
"85.00% PAPC, 15.00% DPSM",2915,192628,310,3.69,20.24,14.42,19.26
"85.00% PAPC, 15.00% DRPE",2915,190132,310,3.72,16.96,11.24,14.61
"85.00% PIPC, 15.00% PGSM",2915,194580,310,3.76,25.59,18.1,10.24
"85.00% PIPC, 15.00% DYPE",2915,197035,310,3.67,24.77,16.08,10.98
"85.00% PIPC, 15.00% LPPC",2915,195603,310,3.71,25.97,18.02,10.93
"85.00% PIPC, 15.00% DLPE",2915,197029,310,3.69,25.65,16.44,11.15
"85.00% PAPE, 15.00% XNSM",2915,190107,310,3.95,19.81,10.3,19.79
"85.00% PAPE, 15.00% PVSM",2915,192635,310,3.78,18.24,10.41,18.31
"85.00% PAPE, 15.00% PUPE",2915,192592,310,3.77,17.34,9.69,17.56
"85.00% PAPE, 15.00% PRPE",2915,190105,310,3.79,16.45,8.57,17.56
"85.00% PAPE, 15.00% PRPC",2915,190131,310,3.78,17.29,9.26,16.18
"85.00% PAPE, 15.00% PQPE",2915,192592,310,3.82,18.43,10.45,21.02
"85.00% PAPE, 15.00% POSM",2915,192639,310,3.76,18.48,9.65,20.04
"85.00% PAPE, 15.00% POPE",2915,192633,310,3.81,19.1,10.22,20.37
"85.00% PAPE, 15.00% POPC",2915,192631,310,3.8,19.71,10.49,19.57
"85.00% PAPE, 15.00% PNSM",2915,190115,310,3.87,17.82,10.01,16.99
"85.00% PAPE, 15.00% PIPE",2915,192631,310,3.79,18.83,10.03,19.83
"85.00% PAPE, 15.00% PIPC",2915,192636,310,3.78,18.55,10.0,18.58
"85.00% PAPE, 15.00% PGSM",2915,192592,310,3.82,18.61,10.35,16.46
"85.00% PAPE, 15.00% PGPE",2915,192591,310,3.87,19.99,10.68,19.98
"85.00% PAPE, 15.00% PGPC",2915,192593,310,3.85,20.25,10.87,18.54
"85.00% PAPE, 15.00% PEPC",2915,192593,310,3.83,20.28,10.53,16.55
"85.00% PAPE, 15.00% PAPC",2915,192592,310,3.78,18.21,9.84,18.91
"85.00% PAPE, 15.00% LPPE",2915,192628,310,3.79,19.32,10.39,20.85
"85.00% PAPE, 15.00% LPPC",2915,192630,310,3.77,19.37,10.46,20.84
"85.00% PAPE, 15.00% DYPE",2915,193418,310,3.72,17.57,10.39,19.2
"85.00% PAPE, 15.00% DYPC",2915,193386,310,3.71,17.57,9.62,19.38
"85.00% PIPC, 15.00% DTPE",2915,197607,310,3.63,23.14,15.56,10.98
"85.00% PAPE, 15.00% DXSM",2915,190113,310,3.96,19.54,10.3,17.35
"85.00% PIPC, 15.00% DTPC",2915,197624,310,3.61,21.68,15.41,10.05
"85.00% PIPC, 15.00% DYPC",2915,197015,310,3.65,24.0,16.09,10.5
"85.00% PIPC, 15.00% POSM",2915,195590,310,3.7,24.82,17.52,10.54
"85.00% PIPC, 15.00% DXPE",2915,191984,310,3.97,25.3,15.88,10.55
"85.00% PIPC, 15.00% PGPC",2915,194541,310,3.8,26.93,19.07,10.66
"85.00% PIPC, 15.00% DUPE",2915,194585,310,3.68,20.45,13.13,8.83
"85.00% PIPC, 15.00% DXPC",2915,192097,310,3.95,24.83,16.98,10.32
"85.00% PIPC, 15.00% DNPC",2915,192001,310,3.93,25.46,17.26,10.06
"85.00% PIPC, 15.00% PVSM",2915,195561,310,3.71,25.14,17.7,10.6
"85.00% PIPC, 15.00% DVPE",2915,195570,310,3.77,24.96,15.95,10.99
"85.00% PIPC, 15.00% DAPE",2915,194553,310,3.7,20.98,13.37,9.97
"85.00% PIPC, 15.00% PUPE",2915,194512,310,3.71,23.22,14.92,10.22
"85.00% PIPC, 15.00% DRPE",2915,192067,310,3.73,19.97,14.01,9.39
"85.00% PIPC, 15.00% PQPE",2915,194533,310,3.76,24.28,15.23,10.58
"85.00% PIPC, 15.00% DAPC",2915,194561,310,3.68,21.58,14.92,9.25
"85.00% PIPC, 15.00% DFPC",2915,195610,310,3.65,22.66,15.07,9.87
"85.00% PIPC, 15.00% DBSM",2915,194588,310,3.81,26.68,19.3,10.59
"85.00% PIPC, 15.00% DFPE",2915,195579,310,3.67,22.78,14.37,10.22
"85.00% PIPC, 15.00% DVPC",2915,195556,310,3.74,26.37,18.44,10.72
"85.00% PIPC, 15.00% DBPC",2915,194532,310,3.86,25.65,17.37,10.65
"85.00% PIPC, 15.00% BNSM",2915,192052,310,3.85,25.9,18.74,10.32
"85.00% PIPC, 15.00% DOPE",2915,195583,310,3.75,25.02,15.33,10.68
"85.00% PIPC, 15.00% LPPE",2915,195601,310,3.74,26.11,16.85,11.35
"85.00% PIPC, 15.00% DGPE",2915,194572,310,3.86,25.54,15.95,10.56
"85.00% PIPC, 15.00% DGPC",2915,194532,310,3.84,26.07,17.2,10.29
"85.00% PIPC, 15.00% DIPE",2915,195596,310,3.71,23.8,14.48,10.7
"85.00% PIPC, 15.00% DPPE",2915,195569,310,3.78,26.35,17.19,11.05
"85.00% PIPC, 15.00% DBPE",2915,194545,310,3.88,26.72,16.85,10.87
"85.00% PAPC, 15.00% DRPC",2915,190169,310,3.7,17.43,12.77,16.09
"85.00% PAPE, 15.00% DXPE",2915,190125,310,4.02,19.25,10.1,19.03
"85.00% PAPE, 15.00% DVPE",2915,192632,310,3.81,19.55,10.05,20.96
"85.00% PAPC, 15.00% PRPE",2915,190114,310,3.71,19.79,13.14,16.08
"85.00% PAPC, 15.00% PRPC",2915,190159,310,3.7,20.04,13.49,15.85
"85.00% PAPC, 15.00% PQPE",2915,192592,310,3.73,20.74,13.13,17.83
"85.00% PAPC, 15.00% POSM",2915,192641,310,3.68,20.4,13.7,16.65
"85.00% PAPC, 15.00% POPE",2915,192635,310,3.73,20.83,14.01,17.52
"85.00% PAPC, 15.00% POPC",2915,192639,310,3.71,21.31,13.34,18.29
"85.00% PAPC, 15.00% PNSM",2915,190119,310,3.78,20.01,14.03,17.16
"85.00% PAPC, 15.00% PIPE",2915,192626,310,3.72,20.12,12.41,19.17
"85.00% PAPC, 15.00% PIPC",2915,192644,310,3.7,21.32,14.17,18.61
"85.00% PAPC, 15.00% PGSM",2915,192592,310,3.73,20.81,14.73,18.12
"85.00% PAPC, 15.00% PGPE",2915,192592,310,3.78,20.59,12.36,18.11
"85.00% PAPC, 15.00% PGPC",2915,192591,310,3.76,21.73,14.31,17.89
"85.00% PAPC, 15.00% PEPC",2915,192591,310,3.74,21.52,14.46,17.51
"85.00% PAPC, 15.00% PAPE",2915,192593,310,3.71,20.05,12.48,17.71
"85.00% PAPC, 15.00% LPPE",2915,192628,310,3.7,20.56,12.76,17.23
"85.00% PAPC, 15.00% LPPC",2915,192624,310,3.69,20.96,14.58,17.92
"85.00% PAPC, 15.00% DYPE",2915,193390,310,3.64,20.4,13.44,17.55
"85.00% PAPC, 15.00% DYPC",2915,193424,310,3.62,20.01,13.26,17.33
"85.00% PAPC, 15.00% DXSM",2915,190139,310,3.87,20.57,13.46,18.9
"85.00% PAPC, 15.00% DXPE",2915,190097,310,3.93,19.86,12.58,16.42
"85.00% PAPC, 15.00% DXPC",2915,190088,310,3.91,20.55,13.65,17.45
"85.00% PAPC, 15.00% DVPE",2915,192627,310,3.73,20.37,12.49,18.82
"85.00% PAPC, 15.00% DVPC",2915,192629,310,3.71,21.38,14.31,17.11
"85.00% PAPC, 15.00% DTPE",2917,193837,310,3.6,17.78,11.97,18.14
"85.00% PAPC, 15.00% DTPC",2915,193801,310,3.59,17.28,12.13,15.15
"85.00% PAPC, 15.00% PUPE",2915,192592,310,3.69,19.01,11.31,17.35
"85.00% PAPE, 15.00% DXPC",2915,190139,310,4.0,19.57,10.49,18.09
"85.00% PAPC, 15.00% PVSM",2915,192624,310,3.69,19.93,13.32,18.0
"85.00% PAPE, 15.00% BNSM",2915,190133,310,3.91,20.01,10.5,17.42
"85.00% PAPE, 15.00% DVPC",2915,192631,310,3.8,20.02,10.24,20.58
"85.00% PAPE, 15.00% DUPE",2915,192591,310,3.74,15.02,8.21,16.47
"85.00% PAPE, 15.00% DTPE",2915,193845,310,3.7,15.69,9.73,18.95
"85.00% PAPE, 15.00% DTPC",2915,193883,310,3.69,13.61,8.11,19.41
"85.00% PAPE, 15.00% DRPE",2915,190117,310,3.79,15.61,8.42,16.22
"85.00% PAPE, 15.00% DRPC",2915,190152,310,3.78,14.31,9.23,16.68
"85.00% PAPE, 15.00% DPSM",2915,192633,310,3.79,17.68,9.99,17.33
"85.00% PAPE, 15.00% DPPE",2915,192621,310,3.83,20.13,10.53,19.9
"85.00% PAPE, 15.00% DPPC",2915,192642,310,3.82,19.28,10.49,17.23
"85.00% PAPE, 15.00% DOPE",2915,192640,310,3.8,20.18,10.2,21.04
"85.00% PAPE, 15.00% DOPC",2915,192630,310,3.78,19.14,11.06,20.61
"85.00% PAPE, 15.00% DNPE",2915,190110,310,4.0,18.83,9.54,18.69
"85.00% PAPE, 15.00% DNPC",2915,190127,310,3.99,19.67,10.43,16.74
"85.00% PAPE, 15.00% DLPE",2915,193395,310,3.74,18.73,10.44,21.63
"85.00% PAPE, 15.00% DLPC",2915,193412,310,3.73,18.08,10.19,18.33
"85.00% PAPE, 15.00% DIPE",2915,192638,310,3.77,18.27,9.58,17.34
"85.00% PAPE, 15.00% DIPC",2915,192620,310,3.75,17.71,9.7,18.84
"85.00% PAPE, 15.00% DGPE",2915,192594,310,3.9,20.35,10.25,19.19
"85.00% PAPE, 15.00% DGPC",2915,192593,310,3.89,20.47,11.0,18.22
"85.00% PAPE, 15.00% DFPE",2915,192624,310,3.74,16.67,8.37,16.7
"85.00% PAPE, 15.00% DFPC",2915,192632,310,3.73,15.93,8.29,18.92
"85.00% PAPE, 15.00% DBSM",2915,192592,310,3.87,19.81,10.83,19.22
"85.00% PAPE, 15.00% DBPE",2915,192591,310,3.93,19.52,9.43,20.29
"85.00% PAPE, 15.00% DBPC",2915,192594,310,3.91,20.47,11.18,19.16
"85.00% PAPE, 15.00% DAPC",2915,192593,310,3.76,17.34,9.65,18.46
"85.00% PAPC, 15.00% XNSM",2915,190117,310,3.86,21.73,14.64,16.81
"85.00% PIPC, 15.00% PGPE",2915,194592,310,3.82,25.96,17.0,11.09
APC,5,1,3,6.0,,10.0,11.0
